"_Artist","_Album","_Year"
"Chemical Brothers, The","Dig Your Own Hole","1997"
"Coldplay","X&Y","2005"
"Cyndi Lauper","She's So Unusual","1983"
"Garbage","Version 2.0","1998"
"George Michael","Faith","1987"
"Guns n' Roses","Use Your Illustion I ","1991"
"Guns n' Roses","Use Your Illustion II","1991"
"Jean Michelle Jarre","Oxygene","1976"
"Lady Gaga","The Fame","2008"
"Lily Allen","It's Not Me, It's You","2009"
"Nirvana","Nevermind","1991"
"Pixies","Trompe le Monde","1991"
"Primus","Pork Soda","1993"
"Prince","Parade","1986"
"Prince","1999","1982"
"Prince","Controversy","1981"
"Rowwen Heze","Zondag in 't Zuiden","1995"
"Smashing Pumpkins","Siamese Dream","1993"
"Supergrass","I Should Coco","1995"
"U2","The Unforgettable Fire","1984"
"U2","Use Your Illustion I ","1987"